"species_code","common_name","scientific_name"
"greman1","Green Mango","Anthracothorax viridis"
"grepew","Greater Pewee","Contopus pertinax"
"grepot1","Great Potoo","Nyctibius grandis"
"grerhe1","Greater Rhea","Rhea americana"
"greroa","Greater Roadrunner","Geococcyx californianus"
"greros2","Green Rosella","Platycercus caledonicus"
"gresca","Greater Scaup","Aythya marila"
"greshe","Great Shearwater","Ardenna gravis"
"gresht1","Great Shrike-Tyrant","Agriornis lividus"
"gresku1","Great Skua","Stercorarius skua"
"gretea1","Gray Teal","Anas gracilis"
"gretho1","Green Thorntail","Discosura conversii"
"grethr1","Great Thrush","Turdus fuscater"
"gretin1","Great Tinamou","Tinamus major"
"gretit1","Great Tit","Parus major"
"grewhi1","Greater Whitethroat","Curruca communis"
"greyel","Greater Yellowlegs","Tringa melanoleuca"
"grfdov1","Gray-fronted Dove","Leptotila rufaxilla"
"grfhaw1","Chinese Sparrowhawk","Tachyspiza soloensis"
"grfhum1","Green-fronted Hummingbird","Ramosomyia viridifrons"
"grflan1","Green-fronted Lancebill","Doryfera ludovicae"
"grgmac","Great Green Macaw","Ara ambiguus"
"grgowl","Great Gray Owl","Strix nebulosa"
"grhcha1","Gray-headed Chachalaca","Ortalis cinereiceps"
"grhgul","Gray-hooded Gull","Chroicocephalus cirrocephalus"
"grhkit1","Gray-headed Kite","Leptodon cayanensis"
"grhowl","Great Horned Owl","Bubo virginianus"
"grhowl2","Lesser Horned Owl","Bubo magellanicus"
"grhpip1","Gray-headed Piprites","Piprites griseiceps"
"grhtan1","Gray-headed Tanager","Eucometis penicillata"
"grnher","Green Heron","Butorides virescens"
"grnjay","Green Jay","Cyanocorax yncas"
"grnkin","Green Kingfisher","Chloroceryle americana"
"grnpar","Green Parakeet","Psittacara holochlorus"
"grnsan","Green Sandpiper","Tringa ochropus"
"grnvie1","Mexican Violetear","Colibri thalassinus"
"grnwoo3","Iberian Green Woodpecker","Picus sharpei"
"grpchi","Greater Prairie-Chicken","Tympanuchus cupido"
"grpfin1","Great Pampa-Finch","Embernagra platensis"
"grpsni1","Greater Painted-Snipe","Rostratula benghalensis"
"grrpar1","Green-rumped Parrotlet","Forpus passerinus"
"grrswi1","Gray-rumped Swift","Chaetura cinereiventris"
"grrwar1","Great Reed Warbler","Acrocephalus arundinaceus"
"grsfly1","Gray Silky-flycatcher","Ptiliogonys cinereus"
"grskiw1","Great Spotted Kiwi","Apteryx maxima"
"grsvir1","Green Shrike-Vireo","Vireolanius pulchellus"
"grswoo","Great Spotted Woodpecker","Dendrocopos major"
"grtcar1","Green-throated Carib","Eulampis holosericeus"
"grtcha1","Gray-throated Chat","Granatellus sallaei"
"grtgra","Great-tailed Grackle","Quiscalus mexicanus"
"grtman1","Green-throated Mango","Anthracothorax viridigula"
"grttra1","Green-tailed Trainbearer","Lesbia nuna"
"grtwar1","Green-tailed Warbler","Microligea palustris"
"grwpel1","Great White Pelican","Pelecanus onocrotalus"
"grwpet2","Gray-faced Petrel","Pterodroma gouldi"
"grwsal1","Green-winged Saltator","Saltator similis"
"grybut1","Gray Butcherbird","Cracticus torquatus"
"grycat","Gray Catbird","Dumetella carolinensis"
"grycur1","Gray Currawong","Strepera versicolor"
"gryela1","Choco Elaenia","Myiopagis parambae"
"gryfan1","Gray Fantail","Rhipidura albiscapa"
"gryfin1","Grassland Yellow-Finch","Sicalis luteola"
"gryfin2","Greater Yellow-Finch","Sicalis auriventris"
"gryfin3","Greenish Yellow-Finch","Sicalis olivascens"
"gryfly","Gray Flycatcher","Empidonax wrightii"
"grygab1","Gray Go-away-bird","Crinifer concolor"
"gryger1","Gray Gerygone","Gerygone igata"
"grygul","Gray Gull","Leucophaeus modestus"
"gryhaw2","Gray Hawk","Buteo plagiatus"
"gryhaw3","Gray-lined Hawk","Buteo nitidus"
"gryjay","Canada Jay","Perisoreus canadensis"
"grykin","Gray Kingbird","Tyrannus dominicensis"
"grymon1","Gray Monjita","Nengetus cinereus"
"grynig2","Jungle Nightjar","Caprimulgus indicus"
"grynod1","Gray Noddy","Anous albivitta"
"grypar","Gray Partridge","Perdix perdix"
"grysht1","Gray Shrikethrush","Colluricincla harmonica"
"grytin1","Gray Tinamou","Tinamus tao"
"grytre1","Gray Treepie","Dendrocitta formosae"
"gryvir","Gray Vireo","Vireo vicinior"
"grywag","Gray Wagtail","Motacilla cinerea"
"grywhi2","Gray Whistler","Pachycephala simplex"
"gsbfin1","Green-striped Brushfinch","Arremon virenticeps"
"gsgdov1","Golden-spotted Ground Dove","Metriopelia aymara"
"gstswi1","Great Swallow-tailed Swift","Panyptila sanctihieronymi"
"gtmgem1","Green-throated Mountain-gem","Lampornis viridipallens"
"guacor1","Guanay Cormorant","Leucocarbo bougainvilliorum"
"guawoo1","Guadeloupe Woodpecker","Melanerpes herminieri"
"guawoo2","Guayaquil Woodpecker","Campephilus gayaquilensis"
"gubter2","Gull-billed Tern","Gelochelidon nilotica"
"guicuc1","Guira Cuckoo","Guira guira"
"gunhaw1","Gundlach's Hawk","Astur gundlachi"
"gusgro","Gunnison Sage-Grouse","Centrocercus minimus"
"gwfgoo","Greater White-fronted Goose","Anser albifrons"
"gybmar","Gray-breasted Martin","Progne chalybea"
"gybsee1","Gray-breasted Seedsnipe","Thinocorus orbignyianus"
"gybsht1","Gray-bellied Shrike-Tyrant","Agriornis micropterus"
"gybstp1","Gray-backed Storm-Petrel","Garrodia nereis"
"gycful1","Morrison's Fulvetta","Alcippe morrisonia"
"gycmin1","Gray-chinned Minivet","Pericrocotus solaris"
"gycnun1","Gray-cheeked Nunlet","Nonnula frontalis"
"gycthr","Gray-cheeked Thrush","Catharus minimus"
"gyctyr2","Straneck's Tyrannulet","Serpophaga griseicapilla"
"gycwoo1","Gray-capped Pygmy Woodpecker","Yungipicus canicapillus"
"gycwor1","Gray-cowled Wood-Rail","Aramides cajaneus"
"gycyel","Gray-crowned Yellowthroat","Geothlypis poliocephala"
"gyfbuz1","Gray-faced Buzzard","Butastur indicus"
"gyfcin1","Gray-flanked Cinclodes","Cinclodes oustaleti"
"gyfwoo1","Gray-headed Woodpecker","Picus canus"
"gyhbul1","Gray-headed Bulbul","Microtarsus priocephalus"
"gyhdov1","Gray-headed Dove","Leptotila plumbeiceps"
"gyhsif1","Gray-hooded Sierra Finch","Phrygilus gayi"
"gytmar1","Gray-throated Martin","Riparia chinensis"
"gyttat1","Gray-tailed Tattler","Tringa brevipes"
"gytwaf1","Gray-throated Warbling Finch","Microspingus cabanisi"
"hadibi1","Hadada Ibis","Bostrychia hagedash"
"haiwoo","Hairy Woodpecker","Dryobates villosus"
"hamerk1","Hamerkop","Scopus umbretta"
"hamfly","Hammond's Flycatcher","Empidonax hammondii"
"hapwre1","Happy Wren","Pheugopedius felix"
"harduc","Harlequin Duck","Histrionicus histrionicus"
"hargul1","Hartlaub's Gull","Chroicocephalus hartlaubii"
"harspa","Harris's Sparrow","Zonotrichia querula"
"heegul","Heermann's Gull","Larus heermanni"
"helgui","Helmeted Guineafowl","Numida meleagris"
"helpip1","Hellmayr's Pipit","Anthus hellmayri"
"henspa","Henslow's Sparrow","Centronyx henslowii"
"heptan","Hepatic Tanager","Piranga flava"
"herthr","Hermit Thrush","Catharus guttatus"
"herwar","Hermit Warbler","Setophaga occidentalis"
"heswoo1","Heart-spotted Woodpecker","Hemicircus canente"
"higela3","Small-headed Elaenia","Elaenia sordida"
"higgua1","Highland Guan","Penelopina nigra"
"higmot1","Andean Motmot","Momotus aequatorialis"
"higtin1","Highland Tinamou","Nothocercus bonapartei"
"hilmyn","Common Hill Myna","Gracula religiosa"
"himcuc1","Himalayan Cuckoo","Cuculus saturatus"
"himrub1","Himalayan Rubythroat","Calliope pectoralis"
"hiseme1","Hispaniolan Emerald","Riccordia swainsonii"
"hislic1","Hispaniolan Lizard-Cuckoo","Coccyzus longirostris"
"hispar","Hispaniolan Parakeet","Psittacara chloropterus"
"hispar1","Hispaniolan Amazon","Amazona ventralis"
"hispew1","Hispaniolan Pewee","Contopus hispaniolensis"
"hisspi","Hispaniolan Spindalis","Spindalis dominicensis"
"histro1","Hispaniolan Trogon","Priotelus roseigaster"
"hiswoo1","Hispaniolan Woodpecker","Melanerpes striatus"
"hobcuc1","Horsfield's Bronze-Cuckoo","Chalcites basalis"
"hobkit","Hook-billed Kite","Chondrohierax uncinatus"
"hofwoo1","Hoffmann's Woodpecker","Melanerpes hoffmannii"
"hohgre1","Hoary-headed Grebe","Poliocephalus poliocephalus"
"honeme1","Honduran Emerald","Amazilia luciae"
"hoogre1","Hooded Grebe","Podiceps gallardoi"
"hoogro1","Hooded Grosbeak","Coccothraustes abeillei"
"hoomer","Hooded Merganser","Lophodytes cucullatus"
"hooori","Hooded Oriole","Icterus cucullatus"
"hoopoe","Eurasian Hoopoe","Upupa epops"
"hoosis1","Hooded Siskin","Spinus magellanicus"
"hoovul1","Hooded Vulture","Necrosyrtes monachus"
"hoowar","Hooded Warbler","Setophaga citrina"
"hooyel1","Hooded Yellowthroat","Geothlypis nelsoni"
"horcoo1","Horned Coot","Fulica cornuta"
"horgre","Horned Grebe","Podiceps auritus"
"horgua1","Horned Guan","Oreophasis derbianus"
"horlar","Horned Lark","Eremophila alpestris"
"horpuf","Horned Puffin","Fratercula corniculata"
"houcro1","House Crow","Corvus splendens"
"houfin","House Finch","Haemorhous mexicanus"
"houspa","House Sparrow","Passer domesticus"
"houswi1","House Swift","Apus nipalensis"
"hrshaw","Harris's Hawk","Parabuteo unicinctus"
"hudgod","Hudsonian Godwit","Limosa haemastica"
"humpen1","Humboldt Penguin","Spheniscus humboldti"
"hutshe1","Hutton's Shearwater","Puffinus huttoni"
"hutvir","Hutton's Vireo","Vireo huttoni"
"ibechi2","Iberian Chiffchaff","Phylloscopus ibericus"
"ibgshr1","Iberian Gray Shrike","Lanius meridionalis"
"impcor1","Imperial Cormorant","Leucocarbo atriceps"
"imppar1","Imperial Amazon","Amazona imperialis"
"inawoo2","Inagua Woodstar","Nesophlox lyrura"
"incdov","Inca Dove","Columbina inca"
"inchum1","Indigo-capped Hummingbird","Saucerottia cyanifrons"
"incter1","Inca Tern","Larosterna inca"
"indbun","Indigo Bunting","Passerina cyanea"
"indcou1","Indian Courser","Cursorius coromandelicus"
"indcuc1","Indian Cuckoo","Cuculus micropterus"
"indpit1","Indian Pitta","Pitta brachyura"
"indrob1","Indian Robin","Copsychus fulicatus"
"indrol2","Indian Roller","Coracias benghalensis"
"indsil","Indian Silverbill","Euodice malabarica"
"indthk1","Indian Thick-knee","Burhinus indicus"
"inghor2","Indian Gray Hornbill","Ocyceros birostris"
"inpher1","Indian Pond-Heron","Ardeola grayii"
"integr1","Medium Egret","Ardea intermedia"
"issjay","Island Scrub-Jay","Aphelocoma insularis"
"istwre1","Isthmian Wren","Cantorchilus elutus"
"ivbwoo1","Ivory-billed Woodcreeper","Xiphorhynchus flavigaster"
"ivogul","Ivory Gull","Pagophila eburnea"
"jabiru","Jabiru","Jabiru mycteria"
"jabwar","Japanese Bush Warbler","Horornis diphone"
"jambec1","Jamaican Becard","Pachyramphus niger"
"jambla1","Jamaican Blackbird","Nesopsar nigerrimus"
"jamcro1","Jamaican Crow","Corvus jamaicensis"
"jamela1","Jamaican Elaenia","Myiopagis cotta"
"jameup1","Jamaican Euphonia","Euphonia jamaica"
"jamfla1","James's Flamingo","Phoenicoparrus jamesi"
"jamlic1","Jamaican Lizard-Cuckoo","Coccyzus vetula"
"jamman1","Jamaican Mango","Anthracothorax mango"
"jamori1","Jamaican Oriole","Icterus leucopteryx"
"jamowl1","Jamaican Owl","Asio grammicus"
"jampew1","Jamaican Pewee","Contopus pallidus"
"jamspi","Jamaican Spindalis","Spindalis nigricephala"
"jamtod1","Jamaican Tody","Todus todus"
"jamvir1","Jamaican Vireo","Vireo modestus"
"jamwoo1","Jamaican Woodpecker","Melanerpes radiolatus"
"japcor1","Japanese Cormorant","Phalacrocorax capillatus"
"japfly1","Black Paradise-Flycatcher","Terpsiphone atrocaudata"
"japspa1","Japanese Sparrowhawk","Tachyspiza gularis"
"javspa","Java Sparrow","Padda oryzivora"
"jerbus2","Jerdon's Bushlark","Plocealauda affinis"
"jerlea1","Jerdon's Leafbird","Chloropsis jerdoni"
"jernig1","Jerdon's Nightjar","Caprimulgus atripennis"
"jetant1","Jet Antbird","Cercomacra nigricans"
"junbab2","Jungle Babbler","Argya striata"
"junowl1","Jungle Owlet","Glaucidium radiatum"
"juntit1","Juniper Titmouse","Baeolophus ridgwayi"
"karpri1","Karoo Prinia","Prinia maculosa"
"kea1","Kea","Nestor notabilis"
"kebmot1","Keel-billed Motmot","Electron carinatum"
"kebtou1","Keel-billed Toucan","Ramphastos sulfuratus"
"kelgoo1","Kelp Goose","Chloephaga hybrida"
"kelgul","Kelp Gull","Larus dominicanus"
"kenplo1","Kentish Plover","Anarhynchus alexandrinus"
"kenwar","Kentucky Warbler","Geothlypis formosa"
"killde","Killdeer","Charadrius vociferus"
"kineid","King Eider","Somateria spectabilis"
"kinpen1","King Penguin","Aptenodytes patagonicus"
"kinrai2","Aztec Rail","Rallus tenuirostris"
"kinrai4","King Rail","Rallus elegans"
"kinvul1","King Vulture","Sarcoramphus papa"
"kirwar","Kirtland's Warbler","Setophaga kirtlandii"
"klacuc1","Klaas's Cuckoo","Chrysococcyx klaas"
"kokako3","North Island Kokako","Callaeas wilsoni"
"kwqdov","Key West Quail-Dove","Geotrygon chrysia"
"labscr2","Large-billed Scrubwren","Sericornis magnirostra"
"labter1","Large-billed Tern","Phaetusa simplex"
"labwoo","Ladder-backed Woodpecker","Dryobates scalaris"
"lacwoo1","Laced Woodpecker","Picus vittatus"
"laffin1","Large-footed Finch","Pezopetes capitalis"
"lafvul1","Lappet-faced Vulture","Torgos tracheliotos"
"lakduc1","Lake Duck","Oxyura vittata"
"lammer1","Bearded Vulture","Gypaetus barbatus"
"lanmon1","Lanceolated Monklet","Micromonacha lanceolata"
"laplon","Lapland Longspur","Calcarius lapponicus"
"larbun","Lark Bunting","Calamospiza melanocorys"
"larhac2","Large Hawk-Cuckoo","Hierococcyx sparverioides"
"larspa","Lark Sparrow","Chondestes grammacus"
"lasfly","La Sagra's Flycatcher","Myiarchus sagrae"
"lasthr1","La Selle Thrush","Turdus swalesi"
"latman1","Lance-tailed Manakin","Chiroxiphia lanceolata"
"latsni1","Latham's Snipe","Gallinago hardwickii"
"lattro1","Lattice-tailed Trogon","Trogon clathratus"
"laufal1","Laughing Falcon","Herpetotheres cachinnans"
"laugul","Laughing Gull","Leucophaeus atricilla"
"laukoo1","Laughing Kookaburra","Dacelo novaeguineae"
"lawgol","Lawrence's Goldfinch","Spinus lawrencei"
"layalb","Laysan Albatross","Phoebastria immutabilis"
"lazbun","Lazuli Bunting","Passerina amoena"
"lbbgul","Lesser Black-backed Gull","Larus fuscus"
"lbsfin1","Large-billed Seed-Finch","Sporophila crassirostris"
"lcspet","Leach's Storm-Petrel","Hydrobates leucorhous"
"leabit","Least Bittern","Botaurus exilis"
"leabul1","Lesser Antillean Bullfinch","Loxigilla noctis"
"leafly","Least Flycatcher","Empidonax minimus"
"leafly1","Lesser Antillean Flycatcher","Myiarchus oberi"
"leafly2","Leaden Flycatcher","Myiagra rubecula"
"leagre","Least Grebe","Tachybaptus dominicus"
"leapew1","Lesser Antillean Pewee","Contopus latirostris"
"leasal1","Lesser Antillean Saltator","Saltator albicollis"
"leasan","Least Sandpiper","Calidris minutilla"
"leasee1","Least Seedsnipe","Thinocorus rumicivorus"
"leaswi1","Lesser Antillean Swift","Chaetura martinica"
"leatan1","Lesser Antillean Tanager","Stilpnia cucullata"
"leater1","Least Tern","Sternula antillarum"
"lebfly2","Lemon-browed Flycatcher","Conopias cinchoneti"
"lecspa","LeConte's Sparrow","Ammospiza leconteii"
"lecthr","LeConte's Thrasher","Toxostoma lecontei"
"legcuc1","Lesser Ground-Cuckoo","Morococcyx erythropygus"
"legshr2","Lesser Gray Shrike","Lanius minor"
"lepchi","Lesser Prairie-Chicken","Tympanuchus pallidicinctus"
"lescou1","Lesser Coucal","Centropus bengalensis"
"leseag1","Lesser Spotted Eagle","Clanga pomarina"
"lesela1","Lesser Elaenia","Elaenia chiriquensis"
"lesfla1","Lesser Flamingo","Phoeniconaias minor"
"lesgol","Lesser Goldfinch","Spinus psaltria"
"lesgre1","Lesser Greenlet","Pachysylvia decurtata"
"leskes1","Lesser Kestrel","Falco naumanni"
"leskis1","Lesser Kiskadee","Philohydor lictor"
"lesnig","Lesser Nighthawk","Chordeiles acutipennis"
"lesrhe2","Lesser Rhea","Rhea pennata"
"lesroa1","Lesser Roadrunner","Geococcyx velox"
"lessca","Lesser Scaup","Aythya affinis"
"lessts1","Lesser Striped Swallow","Cecropis abyssinica"
"lestan","Lemon-spectacled Tanager","Chlorothraupis olivacea"
"lesvio1","Lesser Violetear","Colibri cyanotus"
"leswhi4","Lesser Whitethroat","Curruca curruca"
"lesyel","Lesser Yellowlegs","Tringa flavipes"
"levshe1","Yelkouan Shearwater","Puffinus yelkouan"
"lewhon1","Lewin's Honeyeater","Meliphaga lewinii"
"lewrai1","Lewin's Rail","Lewinia pectoralis"
"lewwoo","Lewis's Woodpecker","Melanerpes lewis"
"libcor1","Little Black Cormorant","Phalacrocorax sulcirostris"
"libher","Little Blue Heron","Egretta caerulea"
"librol2","Lilac-breasted Roller","Coracias caudatus"
"licpar","Lilac-crowned Amazon","Amazona finschi"
"lifgle1","Lineated Foliage-gleaner","Syndactyla subalaris"
"lilmea2","Chihuahuan Meadowlark","Sturnella lilianae"
"limpki","Limpkin","Aramus guarauna"
"linant1","Lined Antshrike","Thamnophilus tenuepunctatus"
"linsee1","Lined Seedeater","Sporophila lineola"
"linspa","Lincoln's Sparrow","Melospiza lincolnii"
"linwoo1","Lineated Woodpecker","Dryocopus lineatus"
"lipcor1","Little Pied Cormorant","Microcarbo melanoleucos"
"lirplo","Little Ringed Plover","Thinornis dubius"
"liskiw1","Little Spotted Kiwi","Apteryx owenii"
"litbit1","Little Bittern","Botaurus minutus"
"litbus1","Little Bustard","Tetrax tetrax"
"litbut1","Little Buttonquail","Turnix velox"
"litcor1","Little Cormorant","Microcarbo niger"
"litcor2","Little Corella","Cacatua sanguinea"
"litcro1","Little Crow","Corvus bennetti"
"litcuc2","Little Cuckoo","Coccycua minuta"
"litegr","Little Egret","Egretta garzetta"
"litfor1","Little Forktail","Enicurus scouleri"
"litfri1","Little Friarbird","Philemon citreogularis"
"litgre1","Little Grebe","Tachybaptus ruficollis"
"litgul","Little Gull","Hydrocoloeus minutus"
"lither2","Little Hermit","Phaethornis longuemareus"
"litlor1","Little Lorikeet","Psitteuteles pusillus"
"litowl1","Little Owl","Athene noctua"
"litpar2","Lilac-tailed Parrotlet","Touit batavicus"
"litpen1","Little Penguin","Eudyptula minor"
"litrav1","Little Raven","Corvus mellori"
"litsti","Little Stint","Calidris minuta"
"litter1","Little Tern","Sternula albifrons"
"littin1","Little Tinamou","Crypturellus soui"
"livbul1","Light-vented Bulbul","Pycnonotus sinensis"
"lobcor1","Long-billed Corella","Cacatua tenuirostris"
"lobcur","Long-billed Curlew","Numenius americanus"
"lobdow","Long-billed Dowitcher","Limnodromus scolopaceus"
"lobgna5","Long-billed Gnatwren","Ramphocaenus melanurus"
"lobher","Long-billed Hermit","Phaethornis longirostris"
"lobsta1","Long-billed Starthroat","Heliomaster longirostris"
"lobsun2","Loten's Sunbird","Cinnyris lotenius"
"lobthr","Long-billed Thrasher","Toxostoma longirostre"
"loceag1","Long-crested Eagle","Lophaetus occipitalis"
"loeowl","Long-eared Owl","Asio otus"
"logkin","Loggerhead Kingbird","Tyrannus caudifasciatus"
"logshr","Loggerhead Shrike","Lanius ludovicianus"
"lotduc","Long-tailed Duck","Clangula hyemalis"
